disease,disease index,gene,gene index
coronary artery disease,17,947,585
diabetes mellitus,19,947,585
diabetic retinopathy,20,947,585
glioblastoma,28,947,585
glioblastoma multiforme,29,947,585
glioma,30,947,585
heart disease,31,947,585
hepatoblastoma,33,947,585
hirschsprung disease,35,947,585
hypertension,36,947,585
infantile hemangioma,39,947,585
lupus nephritis,45,947,585
major depressive disorder,46,947,585
multiple sclerosis,48,947,585
myocardial infarction,50,947,585
papillary thyroid carcinoma,60,947,585
rheumatoid arthritis,65,947,585
alzheimer's disease,4,948,586
atherosclerosis,5,948,586
breast cancer,9,948,586
cardiovascular disease,10,948,586
cervical cancer,11,948,586
coronary artery disease,17,948,586
diabetes mellitus,19,948,586
diabetic retinopathy,20,948,586
essential hypertension,25,948,586
glioblastoma,28,948,586
glioblastoma multiforme,29,948,586
glioma,30,948,586
heart disease,31,948,586
hypertension,36,948,586
hypertrophic cardiomyopathy,37,948,586
myocardial infarction,50,948,586
nonalcoholic steatohepatitis,52,948,586
osteoarthritis,55,948,586
osteosarcoma,56,948,586
pancreatic ductal adenocarcinoma,59,948,586
rheumatoid arthritis,65,948,586
silicosis,66,948,586
tuberculosis,69,948,586
alzheimer's disease,4,949,587
atherosclerosis,5,949,587
cardiovascular disease,10,949,587
coronary artery disease,17,949,587
diabetes mellitus,19,949,587
heart disease,31,949,587
lupus nephritis,45,949,587
myocardial infarction,50,949,587
nonalcoholic steatohepatitis,52,949,587
alzheimer's disease,4,950,588
hypertension,36,950,588
acute myeloid leukemia,1,952,589
acute promyelocytic leukemia,2,952,589
alzheimer's disease,4,952,589
basal cell carcinoma,6,952,589
cardiovascular disease,10,952,589
cervical cancer,11,952,589
diabetes mellitus,19,952,589
glioblastoma,28,952,589
glioblastoma multiforme,29,952,589
glioma,30,952,589
intervertebral disc degeneration,40,952,589
lupus nephritis,45,952,589
multiple sclerosis,48,952,589
nonalcoholic steatohepatitis,52,952,589
osteosarcoma,56,952,589
papillary thyroid carcinoma,60,952,589
rheumatoid arthritis,65,952,589
tuberculosis,69,952,589
atherosclerosis,5,953,590
cervical cancer,11,953,590
diabetes mellitus,19,953,590
glioblastoma,28,953,590
glioblastoma multiforme,29,953,590
glioma,30,953,590
heart disease,31,953,590
hypertension,36,953,590
leukoaraiosis,41,953,590
lupus nephritis,45,953,590
multiple sclerosis,48,953,590
myocardial infarction,50,953,590
rheumatoid arthritis,65,953,590
tuberculosis,69,953,590
diabetes mellitus,19,956,591
glioblastoma,28,957,592
glioblastoma multiforme,29,957,592
alzheimer's disease,4,958,593
atherosclerosis,5,958,593
breast cancer,9,958,593
cardiovascular disease,10,958,593
cervical cancer,11,958,593
cholangiocarcinoma,13,958,593
coronary artery disease,17,958,593
diabetes mellitus,19,958,593
diabetic retinopathy,20,958,593
glioblastoma,28,958,593
glioblastoma multiforme,29,958,593
glioma,30,958,593
heart disease,31,958,593
hypertension,36,958,593
lupus nephritis,45,958,593
moyamoya disease,47,958,593
multiple sclerosis,48,958,593
myocardial infarction,50,958,593
nonalcoholic steatohepatitis,52,958,593
osteoarthritis,55,958,593
osteosarcoma,56,958,593
pancreatic ductal adenocarcinoma,59,958,593
rheumatoid arthritis,65,958,593
tuberculosis,69,958,593
alzheimer's disease,4,959,594
atherosclerosis,5,959,594
cardiovascular disease,10,959,594
cholangiocarcinoma,13,959,594
coronary artery disease,17,959,594
diabetes mellitus,19,959,594
diabetic retinopathy,20,959,594
glioblastoma,28,959,594
glioblastoma multiforme,29,959,594
glioma,30,959,594
heart disease,31,959,594
hypertension,36,959,594
lupus nephritis,45,959,594
multiple sclerosis,48,959,594
myocardial infarction,50,959,594
nonalcoholic steatohepatitis,52,959,594
pre-eclampsia,61,959,594
rheumatoid arthritis,65,959,594
tuberculosis,69,959,594
acute myeloid leukemia,1,960,595
acute promyelocytic leukemia,2,960,595
alzheimer's disease,4,960,595
atherosclerosis,5,960,595
bladder cancer,7,960,595
breast cancer,9,960,595
cardiovascular disease,10,960,595
cervical cancer,11,960,595
cholangiocarcinoma,13,960,595
colon cancer,15,960,595
colorectal cancer,16,960,595
coronary artery disease,17,960,595
diabetes mellitus,19,960,595
diabetic retinopathy,20,960,595
esophageal cancer,23,960,595
essential hypertension,25,960,595
gastric cancer,26,960,595
glioblastoma,28,960,595
glioblastoma multiforme,29,960,595
glioma,30,960,595
heart disease,31,960,595
hepatoblastoma,33,960,595
hepatocellular carcinoma,34,960,595
hypertension,36,960,595
lung cancer,44,960,595
lupus nephritis,45,960,595
multiple sclerosis,48,960,595
myocardial infarction,50,960,595
nonalcoholic steatohepatitis,52,960,595
non-small cell lung cancer,53,960,595
osteoarthritis,55,960,595
osteosarcoma,56,960,595
pancreatic ductal adenocarcinoma,59,960,595
papillary thyroid carcinoma,60,960,595
prostate cancer,63,960,595
rheumatoid arthritis,65,960,595
silicosis,66,960,595
tuberculosis,69,960,595
acute promyelocytic leukemia,2,961,596
alzheimer's disease,4,961,596
atherosclerosis,5,961,596
cardiovascular disease,10,961,596
cervical cancer,11,961,596
cholangiocarcinoma,13,961,596
diabetes mellitus,19,961,596
glioblastoma,28,961,596
glioblastoma multiforme,29,961,596
glioma,30,961,596
hypertension,36,961,596
multiple sclerosis,48,961,596
osteosarcoma,56,961,596
rheumatoid arthritis,65,961,596
tuberculosis,69,961,596
diabetes mellitus,19,962,597
glioma,30,962,597
multiple sclerosis,48,962,597
rheumatoid arthritis,65,962,597
tuberculosis,69,962,597
cervical cancer,11,963,598
tuberculosis,69,963,598
glioblastoma,28,965,599
glioblastoma multiforme,29,965,599
multiple sclerosis,48,965,599
rheumatoid arthritis,65,965,599
alzheimer's disease,4,966,600
atherosclerosis,5,966,600
coronary artery disease,17,966,600
diabetes mellitus,19,966,600
diabetic retinopathy,20,966,600
heart disease,31,966,600
hypertrophic cardiomyopathy,37,966,600
myocardial infarction,50,966,600
rheumatoid arthritis,65,966,600
alzheimer's disease,4,967,601
diabetes mellitus,19,967,601
glioblastoma,28,967,601
glioblastoma multiforme,29,967,601
glioma,30,967,601
osteosarcoma,56,967,601
pancreatic ductal adenocarcinoma,59,967,601
papillary thyroid carcinoma,60,967,601
rheumatoid arthritis,65,967,601
acute promyelocytic leukemia,2,968,602
alzheimer's disease,4,968,602
atherosclerosis,5,968,602
basal cell carcinoma,6,968,602
cervical cancer,11,968,602
cholangiocarcinoma,13,968,602
coronary artery disease,17,968,602
diabetes mellitus,19,968,602
glioblastoma,28,968,602
glioblastoma multiforme,29,968,602
glioma,30,968,602
hepatocellular carcinoma,34,968,602
lupus nephritis,45,968,602
multiple sclerosis,48,968,602
myocardial infarction,50,968,602
osteoarthritis,55,968,602
papillary thyroid carcinoma,60,968,602
rheumatoid arthritis,65,968,602
tuberculosis,69,968,602
alzheimer's disease,4,969,603
atherosclerosis,5,969,603
cardiovascular disease,10,969,603
coronary artery disease,17,969,603
diabetes mellitus,19,969,603
glioblastoma,28,969,603
glioblastoma multiforme,29,969,603
heart disease,31,969,603
multiple sclerosis,48,969,603
myocardial infarction,50,969,603
rheumatoid arthritis,65,969,603
tuberculosis,69,969,603
atherosclerosis,5,970,604
glioblastoma,28,970,604
glioblastoma multiforme,29,970,604
glioma,30,970,604
myocardial infarction,50,970,604
rheumatoid arthritis,65,970,604
alzheimer's disease,4,972,605
atherosclerosis,5,972,605
cardiovascular disease,10,972,605
diabetes mellitus,19,972,605
diabetic retinopathy,20,972,605
glioblastoma,28,972,605
glioblastoma multiforme,29,972,605
glioma,30,972,605
heart disease,31,972,605
intervertebral disc degeneration,40,972,605
lung adenocarcinoma,43,972,605
lupus nephritis,45,972,605
multiple sclerosis,48,972,605
osteosarcoma,56,972,605
papillary thyroid carcinoma,60,972,605
rheumatoid arthritis,65,972,605
acne,0,973,606
rheumatoid arthritis,65,973,606
tuberculosis,69,973,606
glioblastoma,28,974,607
alzheimer's disease,4,975,608
atherosclerosis,5,975,608
diabetes mellitus,19,975,608
major depressive disorder,46,975,608
osteosarcoma,56,975,608
tuberculosis,69,975,608
cervical cancer,11,976,609
cholangiocarcinoma,13,976,609
diabetes mellitus,19,976,609
glioblastoma,28,976,609
glioblastoma multiforme,29,976,609
glioma,30,976,609
rheumatoid arthritis,65,976,609
glioblastoma,28,977,610
glioblastoma multiforme,29,977,610
glioma,30,977,610
hepatocellular carcinoma,34,977,610
myocardial infarction,50,977,610
osteosarcoma,56,977,610
pancreatic ductal adenocarcinoma,59,977,610
alzheimer's disease,4,978,611
cholangiocarcinoma,13,978,611
intervertebral disc degeneration,40,978,611
osteoarthritis,55,978,611
rheumatoid arthritis,65,978,611
tuberculosis,69,978,611
acute promyelocytic leukemia,2,983,612
alzheimer's disease,4,983,612
breast cancer,9,983,612
cervical cancer,11,983,612
cholangiocarcinoma,13,983,612
colorectal cancer,16,983,612
glioblastoma,28,983,612
glioblastoma multiforme,29,983,612
glioma,30,983,612
hepatoblastoma,33,983,612
myocardial infarction,50,983,612
osteosarcoma,56,983,612
pancreatic ductal adenocarcinoma,59,983,612
prostate cancer,63,983,612
rheumatoid arthritis,65,983,612
osteosarcoma,56,984,613
diabetes mellitus,19,987,614
rheumatoid arthritis,65,987,614
osteosarcoma,56,988,615
glioblastoma,28,989,616
glioblastoma multiforme,29,989,616
glioma,30,989,616
cervical cancer,11,990,617
osteosarcoma,56,990,617
breast cancer,9,991,618
cervical cancer,11,991,618
glioblastoma,28,991,618
glioblastoma multiforme,29,991,618
glioma,30,991,618
heart disease,31,991,618
osteosarcoma,56,991,618
pancreatic ductal adenocarcinoma,59,991,618
prostate cancer,63,991,618
bladder cancer,7,993,619
cervical cancer,11,993,619
glioblastoma,28,993,619
glioblastoma multiforme,29,993,619
glioma,30,993,619
osteosarcoma,56,993,619
alzheimer's disease,4,994,620
glioblastoma,28,994,620
glioma,30,994,620
pancreatic ductal adenocarcinoma,59,994,620
acute promyelocytic leukemia,2,995,621
alzheimer's disease,4,995,621
cardiovascular disease,10,995,621
cervical cancer,11,995,621
diabetes mellitus,19,995,621
glioblastoma,28,995,621
glioblastoma multiforme,29,995,621
glioma,30,995,621
hepatoblastoma,33,995,621
osteosarcoma,56,996,622
osteosarcoma,56,997,623
alzheimer's disease,4,998,624
atherosclerosis,5,998,624
cardiovascular disease,10,998,624
cervical cancer,11,998,624
diabetes mellitus,19,998,624
glioblastoma,28,998,624
glioblastoma multiforme,29,998,624
glioma,30,998,624
myocardial infarction,50,998,624
osteosarcoma,56,998,624
rheumatoid arthritis,65,998,624
acute myeloid leukemia,1,999,625
alzheimer's disease,4,999,625
atherosclerosis,5,999,625
breast cancer,9,999,625
cervical cancer,11,999,625
cholangiocarcinoma,13,999,625
colon cancer,15,999,625
colorectal cancer,16,999,625
diabetes mellitus,19,999,625
gastric cancer,26,999,625
glioblastoma,28,999,625
glioblastoma multiforme,29,999,625
glioma,30,999,625
hepatoblastoma,33,999,625
hepatocellular carcinoma,34,999,625
lung cancer,44,999,625
multiple sclerosis,48,999,625
non-small cell lung cancer,53,999,625
osteosarcoma,56,999,625
pancreatic ductal adenocarcinoma,59,999,625
papillary thyroid carcinoma,60,999,625
prostate cancer,63,999,625
tuberculosis,69,999,625
alzheimer's disease,4,1000,626
cholangiocarcinoma,13,1000,626
coronary artery disease,17,1000,626
diabetes mellitus,19,1000,626
gastric cancer,26,1000,626
glioblastoma,28,1000,626
glioblastoma multiforme,29,1000,626
glioma,30,1000,626
heart disease,31,1000,626
myocardial infarction,50,1000,626
osteoarthritis,55,1000,626
osteosarcoma,56,1000,626
pancreatic ductal adenocarcinoma,59,1000,626
papillary thyroid carcinoma,60,1000,626
prostate cancer,63,1000,626
colorectal cancer,16,1001,627
coronary artery disease,17,1001,627
multiple sclerosis,48,1001,627
osteosarcoma,56,1001,627
pancreatic ductal adenocarcinoma,59,1001,627
prostate cancer,63,1001,627
coronary artery disease,17,1002,628
glioma,30,1002,628
osteosarcoma,56,1002,628
atherosclerosis,5,1003,629
diabetes mellitus,19,1003,629
diabetic retinopathy,20,1003,629
glioblastoma,28,1003,629
glioblastoma multiforme,29,1003,629
glioma,30,1003,629
hypertension,36,1003,629
osteosarcoma,56,1003,629
cholangiocarcinoma,13,1004,630
myocardial infarction,50,1004,630
osteosarcoma,56,1004,630
papillary thyroid carcinoma,60,1004,630
major depressive disorder,46,1005,631
major depressive disorder,46,1006,632
major depressive disorder,46,1007,633
heart disease,31,1008,634
diabetes mellitus,19,1009,635
glioblastoma,28,1009,635
glioblastoma multiforme,29,1009,635
glioma,30,1009,635
myocardial infarction,50,1009,635
osteosarcoma,56,1009,635
prostate cancer,63,1009,635
rheumatoid arthritis,65,1009,635
alzheimer's disease,4,1012,636
atherosclerosis,5,1012,636
cardiovascular disease,10,1012,636
cervical cancer,11,1012,636
coronary artery disease,17,1012,636
diabetes mellitus,19,1012,636
diabetic retinopathy,20,1012,636
glioblastoma,28,1012,636
glioblastoma multiforme,29,1012,636
glioma,30,1012,636
heart disease,31,1012,636
lung cancer,44,1012,636
myocardial infarction,50,1012,636
non-small cell lung cancer,53,1012,636
tuberculosis,69,1012,636
osteosarcoma,56,1013,637
pancreatic ductal adenocarcinoma,59,1013,637
gastric cancer,26,1015,638
multiple sclerosis,48,1015,638
glioma,30,1016,639
osteosarcoma,56,1016,639
atherosclerosis,5,1017,640
bladder cancer,7,1017,640
cervical cancer,11,1017,640
cholangiocarcinoma,13,1017,640
diabetes mellitus,19,1017,640
glioblastoma,28,1017,640
glioblastoma multiforme,29,1017,640
glioma,30,1017,640
lung cancer,44,1017,640
non-small cell lung cancer,53,1017,640
osteoarthritis,55,1017,640
osteosarcoma,56,1017,640
papillary thyroid carcinoma,60,1017,640
rheumatoid arthritis,65,1017,640
breast cancer,9,1018,641
glioblastoma,28,1018,641
glioblastoma multiforme,29,1018,641
alzheimer's disease,4,1019,642
breast cancer,9,1019,642
cervical cancer,11,1019,642
cholangiocarcinoma,13,1019,642
diabetes mellitus,19,1019,642
gastric cancer,26,1019,642
glioblastoma,28,1019,642
glioblastoma multiforme,29,1019,642
glioma,30,1019,642
osteoarthritis,55,1019,642
osteosarcoma,56,1019,642
pancreatic ductal adenocarcinoma,59,1019,642
papillary thyroid carcinoma,60,1019,642
prostate cancer,63,1019,642
rheumatoid arthritis,65,1019,642
alzheimer's disease,4,1020,643
atherosclerosis,5,1020,643
cervical cancer,11,1020,643
diabetes mellitus,19,1020,643
glioblastoma,28,1020,643
glioblastoma multiforme,29,1020,643
glioma,30,1020,643
major depressive disorder,46,1020,643
osteosarcoma,56,1020,643
pancreatic ductal adenocarcinoma,59,1020,643
prostate cancer,63,1020,643
acne,0,1021,644
acute myeloid leukemia,1,1021,644
bladder cancer,7,1021,644
breast cancer,9,1021,644
cervical cancer,11,1021,644
cholangiocarcinoma,13,1021,644
diabetes mellitus,19,1021,644
glioblastoma,28,1021,644
glioblastoma multiforme,29,1021,644
glioma,30,1021,644
osteosarcoma,56,1021,644
rheumatoid arthritis,65,1021,644
breast cancer,9,1022,645
cervical cancer,11,1022,645
cholangiocarcinoma,13,1022,645
glioblastoma,28,1022,645
glioblastoma multiforme,29,1022,645
glioma,30,1022,645
papillary thyroid carcinoma,60,1022,645
prostate cancer,63,1022,645
rheumatoid arthritis,65,1022,645
breast cancer,9,1024,646
cardiovascular disease,10,1024,646
glioma,30,1024,646
lung cancer,44,1024,646
osteosarcoma,56,1024,646
papillary thyroid carcinoma,60,1024,646
alzheimer's disease,4,1025,647
atherosclerosis,5,1025,647
bladder cancer,7,1025,647
breast cancer,9,1025,647
cardiovascular disease,10,1025,647
cervical cancer,11,1025,647
diabetes mellitus,19,1025,647
glioblastoma,28,1025,647
glioblastoma multiforme,29,1025,647
hypertension,36,1025,647
intervertebral disc degeneration,40,1025,647
major depressive disorder,46,1025,647
myocardial infarction,50,1025,647
osteosarcoma,56,1025,647
prostate cancer,63,1025,647
tuberculosis,69,1025,647
acute promyelocytic leukemia,2,1026,648
alzheimer's disease,4,1026,648
atherosclerosis,5,1026,648
bladder cancer,7,1026,648
bladder urothelial carcinoma,8,1026,648
cervical cancer,11,1026,648
cholangiocarcinoma,13,1026,648
diabetes mellitus,19,1026,648
gastric cancer,26,1026,648
glioblastoma,28,1026,648
glioblastoma multiforme,29,1026,648
glioma,30,1026,648
hepatoblastoma,33,1026,648
hypertension,36,1026,648
lupus nephritis,45,1026,648
myocardial infarction,50,1026,648
nonalcoholic steatohepatitis,52,1026,648
osteosarcoma,56,1026,648
pancreatic ductal adenocarcinoma,59,1026,648
papillary thyroid carcinoma,60,1026,648
prostate cancer,63,1026,648
rheumatoid arthritis,65,1026,648
acne,0,1027,649
acute promyelocytic leukemia,2,1027,649
alzheimer's disease,4,1027,649
atherosclerosis,5,1027,649
breast cancer,9,1027,649
cervical cancer,11,1027,649
cholangiocarcinoma,13,1027,649
colon cancer,15,1027,649
colorectal cancer,16,1027,649
diabetes mellitus,19,1027,649
gastric cancer,26,1027,649
glioblastoma,28,1027,649
glioblastoma multiforme,29,1027,649
glioma,30,1027,649
hepatoblastoma,33,1027,649
hypertension,36,1027,649
intervertebral disc degeneration,40,1027,649
myocardial infarction,50,1027,649
osteosarcoma,56,1027,649
papillary thyroid carcinoma,60,1027,649
prostate cancer,63,1027,649
rheumatoid arthritis,65,1027,649
tuberculosis,69,1027,649
acute myeloid leukemia,1,1028,650
atherosclerosis,5,1028,650
bladder cancer,7,1028,650
diabetes mellitus,19,1028,650
glioblastoma,28,1028,650
glioblastoma multiforme,29,1028,650
glioma,30,1028,650
hepatoblastoma,33,1028,650
infantile hemangioma,39,1028,650
multiple sclerosis,48,1028,650
myocardial infarction,50,1028,650
osteosarcoma,56,1028,650
papillary thyroid carcinoma,60,1028,650
acute myeloid leukemia,1,1029,651
acute promyelocytic leukemia,2,1029,651
alzheimer's disease,4,1029,651
atherosclerosis,5,1029,651
basal cell carcinoma,6,1029,651
bladder cancer,7,1029,651
breast cancer,9,1029,651
cardiovascular disease,10,1029,651
cervical cancer,11,1029,651
cervical carcinoma,12,1029,651
cholangiocarcinoma,13,1029,651
colon cancer,15,1029,651
colorectal cancer,16,1029,651
coronary artery disease,17,1029,651
diabetes mellitus,19,1029,651
gastric cancer,26,1029,651
glioblastoma,28,1029,651
glioblastoma multiforme,29,1029,651
glioma,30,1029,651
heart disease,31,1029,651
hepatoblastoma,33,1029,651
hepatocellular carcinoma,34,1029,651
hypertension,36,1029,651
hypopharyngeal squamous cell carcinoma,38,1029,651
infantile hemangioma,39,1029,651
lung cancer,44,1029,651
major depressive disorder,46,1029,651
multiple sclerosis,48,1029,651
myocardial infarction,50,1029,651
non-small cell lung cancer,53,1029,651
osteosarcoma,56,1029,651
pancreatic cancer,58,1029,651
pancreatic ductal adenocarcinoma,59,1029,651
papillary thyroid carcinoma,60,1029,651
prostate cancer,63,1029,651
rheumatoid arthritis,65,1029,651
tuberculosis,69,1029,651
acute myeloid leukemia,1,1030,652
acute promyelocytic leukemia,2,1030,652
atherosclerosis,5,1030,652
basal cell carcinoma,6,1030,652
cardiovascular disease,10,1030,652
cervical cancer,11,1030,652
cholangiocarcinoma,13,1030,652
coronary artery disease,17,1030,652
diabetes mellitus,19,1030,652
glioblastoma,28,1030,652
glioblastoma multiforme,29,1030,652
glioma,30,1030,652
heart disease,31,1030,652
hepatoblastoma,33,1030,652
lung cancer,44,1030,652
myocardial infarction,50,1030,652
non-small cell lung cancer,53,1030,652
osteosarcoma,56,1030,652
acute promyelocytic leukemia,2,1031,653
glioblastoma,28,1031,653
glioblastoma multiforme,29,1031,653
glioma,30,1031,653
hepatoblastoma,33,1031,653
osteosarcoma,56,1031,653
rheumatoid arthritis,65,1031,653
acute promyelocytic leukemia,2,1032,654
alzheimer's disease,4,1032,654
gastric cancer,26,1032,654
glioma,30,1032,654
multiple sclerosis,48,1032,654
osteosarcoma,56,1032,654
rheumatoid arthritis,65,1032,654
tuberculosis,69,1032,654
cervical cancer,11,1033,655
cholangiocarcinoma,13,1033,655
diabetes mellitus,19,1033,655
glioblastoma,28,1033,655
glioblastoma multiforme,29,1033,655
glioma,30,1033,655
hepatoblastoma,33,1033,655
osteosarcoma,56,1033,655
papillary thyroid carcinoma,60,1033,655
rheumatoid arthritis,65,1033,655
bladder cancer,7,1036,656
cholangiocarcinoma,13,1036,656
colon cancer,15,1036,656
diabetes mellitus,19,1036,656
glioblastoma,28,1036,656
glioblastoma multiforme,29,1036,656
lung cancer,44,1036,656
non-small cell lung cancer,53,1036,656
alzheimer's disease,4,1038,657
glioblastoma,28,1038,657
glioblastoma multiforme,29,1038,657
alzheimer's disease,4,1039,658
multiple sclerosis,48,1039,658
glioblastoma,28,1040,659
glioblastoma multiforme,29,1040,659
alzheimer's disease,4,1041,660
glioblastoma,28,1041,660
glioblastoma multiforme,29,1041,660
multiple sclerosis,48,1041,660
rheumatoid arthritis,65,1041,660
acute promyelocytic leukemia,2,1043,661
diabetes mellitus,19,1043,661
multiple sclerosis,48,1043,661
cervical cancer,11,1044,662
cholangiocarcinoma,13,1044,662
hirschsprung disease,35,1044,662
basal cell carcinoma,6,1045,663
bladder cancer,7,1045,663
breast cancer,9,1045,663
cholangiocarcinoma,13,1045,663
colon cancer,15,1045,663
colorectal cancer,16,1045,663
diabetes mellitus,19,1045,663
gastric cancer,26,1045,663
glioblastoma,28,1045,663
glioblastoma multiforme,29,1045,663
glioma,30,1045,663
hirschsprung disease,35,1045,663
multiple sclerosis,48,1045,663
myocardial infarction,50,1045,663
osteoarthritis,55,1045,663
pancreatic ductal adenocarcinoma,59,1045,663
papillary thyroid carcinoma,60,1045,663
tuberculosis,69,1045,663
acute promyelocytic leukemia,2,1048,664
alzheimer's disease,4,1048,664
bladder cancer,7,1048,664
breast cancer,9,1048,664
cardiovascular disease,10,1048,664
cervical cancer,11,1048,664
cholangiocarcinoma,13,1048,664
colon cancer,15,1048,664
colorectal cancer,16,1048,664
diabetes mellitus,19,1048,664
gastric cancer,26,1048,664
glioblastoma,28,1048,664
glioblastoma multiforme,29,1048,664
glioma,30,1048,664
hepatocellular carcinoma,34,1048,664
lung adenocarcinoma,43,1048,664
lung cancer,44,1048,664
multiple sclerosis,48,1048,664
myocardial infarction,50,1048,664
non-small cell lung cancer,53,1048,664
pancreatic ductal adenocarcinoma,59,1048,664
acute myeloid leukemia,1,1050,665
acute promyelocytic leukemia,2,1050,665
atherosclerosis,5,1050,665
cardiovascular disease,10,1050,665
cervical cancer,11,1050,665
diabetes mellitus,19,1050,665
glioblastoma,28,1050,665
glioblastoma multiforme,29,1050,665
glioma,30,1050,665
hepatoblastoma,33,1050,665
osteosarcoma,56,1050,665
tuberculosis,69,1050,665
acute promyelocytic leukemia,2,1051,666
alzheimer's disease,4,1051,666
atherosclerosis,5,1051,666
cardiovascular disease,10,1051,666
diabetes mellitus,19,1051,666
glioblastoma,28,1051,666
glioblastoma multiforme,29,1051,666
glioma,30,1051,666
hepatoblastoma,33,1051,666
osteosarcoma,56,1051,666
pancreatic ductal adenocarcinoma,59,1051,666
papillary thyroid carcinoma,60,1051,666
prostate cancer,63,1051,666
rheumatoid arthritis,65,1051,666
tuberculosis,69,1051,666
acute myeloid leukemia,1,1052,667
alzheimer's disease,4,1052,667
cardiovascular disease,10,1052,667
cervical cancer,11,1052,667
glioblastoma,28,1052,667
glioblastoma multiforme,29,1052,667
glioma,30,1052,667
myocardial infarction,50,1052,667
rheumatoid arthritis,65,1052,667
acute promyelocytic leukemia,2,1053,668
heart disease,31,1053,668
myocardial infarction,50,1053,668
alzheimer's disease,4,1055,669
coronary artery disease,17,1055,669
diabetes mellitus,19,1055,669
heart disease,31,1055,669
major depressive disorder,46,1055,669
multiple sclerosis,48,1055,669
myocardial infarction,50,1055,669
rheumatoid arthritis,65,1055,669
atherosclerosis,5,1056,670
coronary artery disease,17,1056,670
diabetes mellitus,19,1056,670
heart disease,31,1056,670
pancreatic ductal adenocarcinoma,59,1056,670
tuberculosis,69,1056,670
papillary thyroid carcinoma,60,1057,671
breast cancer,9,1058,672
diabetes mellitus,19,1058,672
hypertension,36,1058,672
silicosis,66,1059,673
cardiovascular disease,10,1060,674
myocardial infarction,50,1060,674
breast cancer,9,1062,675
prostate cancer,63,1062,675
rheumatoid arthritis,65,1062,675
prostate cancer,63,1063,676
alzheimer's disease,4,1066,677
atherosclerosis,5,1066,677
cardiovascular disease,10,1066,677
coronary artery disease,17,1066,677
diabetes mellitus,19,1066,677
heart disease,31,1066,677
hypertension,36,1066,677
tuberculosis,69,1066,677
alzheimer's disease,4,1068,678
cardiovascular disease,10,1068,678
cholangiocarcinoma,13,1068,678
diabetes mellitus,19,1068,678
hypertension,36,1068,678
multiple sclerosis,48,1068,678
osteosarcoma,56,1068,678
alzheimer's disease,4,1071,679
atherosclerosis,5,1071,679
bladder cancer,7,1071,679
breast cancer,9,1071,679
cardiovascular disease,10,1071,679
coronary artery disease,17,1071,679
diabetes mellitus,19,1071,679
heart disease,31,1071,679
myocardial infarction,50,1071,679
nonalcoholic steatohepatitis,52,1071,679
alzheimer's disease,4,1072,680
glioma,30,1072,680
hepatoblastoma,33,1072,680
multiple sclerosis,48,1072,680
myocardial infarction,50,1072,680
osteosarcoma,56,1072,680
prostate cancer,63,1072,680
alzheimer's disease,4,1073,681
atherosclerosis,5,1075,682
diabetes mellitus,19,1075,682
gastric cancer,26,1075,682
papillary thyroid carcinoma,60,1075,682
rheumatoid arthritis,65,1075,682
alzheimer's disease,4,1080,683
cervical cancer,11,1080,683
cholangiocarcinoma,13,1080,683
coronary artery disease,17,1080,683
diabetes mellitus,19,1080,683
glioblastoma,28,1080,683
glioblastoma multiforme,29,1080,683
heart disease,31,1080,683
hepatoblastoma,33,1080,683
hypertension,36,1080,683
myocardial infarction,50,1080,683
pancreatic ductal adenocarcinoma,59,1080,683
rheumatoid arthritis,65,1080,683
acute promyelocytic leukemia,2,1081,684
alzheimer's disease,4,1081,684
cardiovascular disease,10,1081,684
diabetes mellitus,19,1081,684
hepatocellular carcinoma,34,1081,684
acute promyelocytic leukemia,2,1082,685
alzheimer's disease,4,1082,685
diabetes mellitus,19,1082,685
pre-eclampsia,61,1082,685
acute promyelocytic leukemia,2,1084,686
breast cancer,9,1084,686
cervical cancer,11,1084,686
cholangiocarcinoma,13,1084,686
colon cancer,15,1084,686
colorectal cancer,16,1084,686
diabetes mellitus,19,1084,686
gastric cancer,26,1084,686
glioblastoma,28,1084,686
glioblastoma multiforme,29,1084,686
hepatocellular carcinoma,34,1084,686
lung cancer,44,1084,686
multiple sclerosis,48,1084,686
myocardial infarction,50,1084,686
non-small cell lung cancer,53,1084,686
acute promyelocytic leukemia,2,1087,687
breast cancer,9,1087,687
cervical cancer,11,1087,687
cholangiocarcinoma,13,1087,687
colon cancer,15,1087,687
colorectal cancer,16,1087,687
diabetes mellitus,19,1087,687
gastric cancer,26,1087,687
glioblastoma,28,1087,687
glioblastoma multiforme,29,1087,687
hepatocellular carcinoma,34,1087,687
lung cancer,44,1087,687
multiple sclerosis,48,1087,687
myocardial infarction,50,1087,687
non-small cell lung cancer,53,1087,687
rheumatoid arthritis,65,1088,688
alzheimer's disease,4,1103,689
diabetes mellitus,19,1103,689
glioblastoma,28,1103,689
multiple sclerosis,48,1103,689
myocardial infarction,50,1103,689
rheumatoid arthritis,65,1103,689
breast cancer,9,1104,690
cervical cancer,11,1104,690
alzheimer's disease,4,1105,691
colorectal cancer,16,1105,691
glioma,30,1105,691
heart disease,31,1105,691
prostate cancer,63,1105,691
heart disease,31,1106,692
prostate cancer,63,1107,693
glioblastoma,28,1108,694
glioblastoma multiforme,29,1108,694
glioma,30,1108,694
heart disease,31,1108,694
alzheimer's disease,4,1109,695
alzheimer's disease,4,1111,696
breast cancer,9,1111,696
cervical cancer,11,1111,696
